Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/06/2026,NEFT-CR-N104332181-ACME TECHNOLOGIES PVT LTD-SALARY JUN 2026,,45000.00,49000.00
01/06/2026,UPI-SWIGGY-swiggy@icici-UTIB0000789-615951484656,331.00,,48669.00
01/06/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-KKBK0000958-727875588675,131.00,,48538.00
02/06/2026,IMPS-325288095701-TRANSFER TO SELF SAVINGS A/C,4000.00,,44538.00
02/06/2026,UPI-JIO PREPAID-jioprepaid@icici-UTIB0000789-493534874016-RECHARGE,299.00,,44239.00
03/06/2026,ACH D- FITZONE GYMS PVT LTD-22691669,1000.00,,43239.00
04/06/2026,UPI-MEDPLUS-medplus@ybl-YESB0000262-409749930972,509.00,,42730.00
05/06/2026,UPI-RAVINDER KUMAR-ravinderk@ybl-UTIB0000789-131647525534-RENT JUN,12000.00,,30730.00
05/06/2026,UPI-BLINKIT-blinkit@icici-ICIC0000456-432921277997,947.00,,29783.00
07/06/2026,UPI-MANDATE-SPOTIFY INDIA-spotify@axisbank-UTIB0000789-627048281489,119.00,,29664.00
08/06/2026,UPI-METRO RAIL TRAVEL CARD-metrocard@ybl-SBIN0001234-025634216073-RECHARGE,500.00,,29164.00
08/06/2026,UPI-SRI LAXMI KIRANA-laxmikirana@ybl-KKBK0000958-955271774490,610.00,,28554.00
09/06/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-KKBK0000958-396360576627,24.00,,28530.00
10/06/2026,ACH D- BAJAJ FINANCE LTD-53287101,5500.00,,23030.00
10/06/2026,UPI-SRI LAXMI TEA STALL-paytmqr281@paytm-YESB0000262-951718702621,80.00,,22950.00
10/06/2026,UPI-ANNAPURNA JUICE CENTRE-annapurna.j@ybl-UTIB0000789-961586578091,50.00,,22900.00
12/06/2026,BBPS-BROADBAND SERVICES-7848018451-BILL PAY,999.00,,21901.00
12/06/2026,UPI-RAPIDO-rapido@ybl-SBIN0001234-527758416169,280.00,,21621.00
13/06/2026,UPI-UBER INDIA-uber@axisbank-YESB0000262-451154479627,159.00,,21462.00
14/06/2026,UPI-SWIGGY-swiggy@icici-ICIC0000456-662994680443,400.00,,21062.00
14/06/2026,UPI-RAPIDO-rapido@ybl-HDFC0000123-596401658202,287.00,,20775.00
15/06/2026,UPI-STARBUCKS-starbucks@hdfcbank-UTIB0000789-034471349361,807.00,,19968.00
16/06/2026,BBPS-ELECTRICITY BOARD-3462475107-BILL PAY,1420.00,,18548.00
17/06/2026,UPI-ZOMATO-zomato@hdfcbank-SBIN0001234-773872148951,300.00,,18248.00
19/06/2026,UPI-MAA TIFFIN CENTER-maatiffin@okaxis-KKBK0000958-431611724005,121.00,,18127.00
20/06/2026,UPI-SUNITA DEVI-sunita.devi@oksbi-YESB0000262-161849593103-pocket money,,2000.00,20127.00
