Date,Description,Amount (INR),Dr/Cr
01/06/2026,AMAZON PAY IN E-COMMERCE,1299.00,Dr
02/06/2026,ZOMATO LTD GURGAON,594.00,Dr
05/06/2026,NETFLIX.COM MUMBAI IN,649.00,Dr
09/06/2026,APPLE.COM/BILL ITUNES.COM IN,75.00,Dr
14/06/2026,CANVA PTY LTD SYDNEY,499.00,Dr
14/06/2026,BOOKMYSHOW MUMBAI,600.00,Dr
21/06/2026,AMAZON PRIME MEMBERSHIP,1499.00,Dr
22/06/2026,ZOMATO LTD GURGAON,694.00,Dr
25/06/2026,UBER INDIA SYSTEMS PVT LTD,208.00,Dr
25/06/2026,UBER INDIA SYSTEMS PVT LTD,251.00,Dr
26/06/2026,ZOMATO LTD GURGAON,388.00,Dr
28/06/2026,UBER INDIA SYSTEMS PVT LTD,437.00,Dr
01/07/2026,AMAZON PAY IN E-COMMERCE,899.00,Dr
03/07/2026,ZOMATO LTD GURGAON,431.00,Dr
05/07/2026,NETFLIX.COM MUMBAI IN,649.00,Dr
07/07/2026,ZOMATO LTD GURGAON,684.00,Dr
08/07/2026,ZOMATO LTD GURGAON,397.00,Dr
08/07/2026,UBER INDIA SYSTEMS PVT LTD,343.00,Dr
08/07/2026,PAYMENT RECEIVED - THANK YOU,7193.00,Cr
09/07/2026,APPLE.COM/BILL ITUNES.COM IN,75.00,Dr
10/07/2026,UBER INDIA SYSTEMS PVT LTD,344.00,Dr
12/07/2026,MYNTRA DESIGNS PVT LTD BENGALURU,4298.00,Dr
14/07/2026,CANVA PTY LTD SYDNEY,499.00,Dr
25/07/2026,MYNTRA REFUND,1799.00,Cr
02/08/2026,AMAZON PAY IN E-COMMERCE,12899.00,Dr
05/08/2026,NETFLIX.COM MUMBAI IN,699.00,Dr
08/08/2026,UBER INDIA SYSTEMS PVT LTD,253.00,Dr
08/08/2026,PAYMENT RECEIVED - THANK YOU,6820.00,Cr
09/08/2026,APPLE.COM/BILL ITUNES.COM IN,75.00,Dr
10/08/2026,UBER INDIA SYSTEMS PVT LTD,446.00,Dr
14/08/2026,CANVA PTY LTD SYDNEY,499.00,Dr
15/08/2026,ZOMATO LTD GURGAON,740.00,Dr
20/08/2026,ZOMATO LTD GURGAON,404.00,Dr
21/08/2026,AMAZON PAY IN E-COMMERCE,640.00,Dr
22/08/2026,ZOMATO LTD GURGAON,505.00,Dr
29/08/2026,UBER INDIA SYSTEMS PVT LTD,293.00,Dr
02/09/2026,AMAZON PAY IN E-COMMERCE,3499.00,Dr
02/09/2026,ZOMATO LTD GURGAON,499.00,Dr
05/09/2026,NETFLIX.COM MUMBAI IN,699.00,Dr
06/09/2026,ZOMATO LTD GURGAON,489.00,Dr
06/09/2026,ZOMATO LTD GURGAON,489.00,Dr
08/09/2026,PAYMENT RECEIVED - THANK YOU,17453.00,Cr
09/09/2026,APPLE.COM/BILL ITUNES.COM IN,75.00,Dr
10/09/2026,UBER INDIA SYSTEMS PVT LTD,320.00,Dr
12/09/2026,BOOKMYSHOW MUMBAI,1120.00,Dr
13/09/2026,ZOMATO LTD GURGAON,656.00,Dr
14/09/2026,CANVA PTY LTD SYDNEY,499.00,Dr
14/09/2026,UBER INDIA SYSTEMS PVT LTD,211.00,Dr
15/09/2026,MYNTRA DESIGNS PVT LTD BENGALURU,2299.00,Dr
15/09/2026,ZOMATO LTD GURGAON,491.00,Dr
